title,sinopse,produção,genero,data-lancamento,image
Aos ventos que virão,"Zé Olímpio, remanescente do bando de Lampião, abandona sua fazenda e vai tentar a vida em São Paulo, na construção civil, fugindo da perseguição aos cangaceiros após a morte do líder do bando. Agora, Zé Olímpio enfrentará outras lutas: contra o preconceito, o subemprego e a intolerância. E onde a construção de Brasília pode despontar como uma nova esperança.
",Luz XXI Cine Video,Drama,24/07/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/aos-ventos-que-virao-WEB.jpg?itok=YOu_Dlig
Hélio Oiticica – O Filme,"O documentário apresenta Hélio Oiticica por ele mesmo, juntando registros históricos a filmes do próprio Hélio e de outros que o filmaram, criando um delírio ambulatório no qual o próprio artista nos conta sua vida num caleidoscópio da cultura dos anos 60 e 70. ",Guerrilha Produções Artísticas e Cinematográficas,Documentário,31/07/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/helio-oiticica.jpg?itok=rMH2LIMq
O homem das multidões,"Juvenal é um maquinista de metrô em Belo Horizonte, Margô controla o fluxo dos trens. Ambos vivem em um estado de profunda solidão, cada um à sua maneira. ",Cinco em Ponto e REC Produtores Associados ,Drama,31/07/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/o%20homem%20das%20multidoes.jpg?itok=eWZvw34o
Vestido pra casar ,"De mentira em mentira, Fernando transforma o dia do seu casamento numa série de confusões que envolvem sua ex-mulher, sua noiva, o sogro, o primo saidinho, um estilista, uma socialite deslumbrada, policiais e seguranças nada seguros, e um senador ciumento com sua mulher infiel.",Raconto Produções e Sophia Filmes ,Comédia,07/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/vestido-pra-casar-poster.jpg?itok=F3d8iXSq
O mercado de notícias ,"Treze  depoimentos de importantes jornalistas brasileiros sobre o sentido e a prática de sua profissão, as mudanças na maneira de consumir notícias, o futuro do jornalismo, e também sobre casos recentes da política brasileira, onde a cobertura da imprensa teve papel de grande destaque.",Casa de Cinema de Porto Alegre,Documentário,07/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/mercado%20noticias.jpg?itok=uL3K1mTn
Não pare na pista – a melhor história de Paulo Coelho ,"Uma tentativa de suicídio, três internações numa clínica psiquiátrica e todos os conflitos de um jovem dos anos 70 dividido entre Deus e o Diabo. Um menino incompreendido, um jovem rebelde, um homem que não desiste de seu sonho. Uma história inverossímil, se não fosse real, a vida do escritor Paulo Coelho é melhor que a ficção.",Dama Filmes ,Drama/cinebiografia,14/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/N%C3%A3o%20pare%20na%20pista.jpg?itok=2s2UwjT-
Uma dose violenta de qualquer coisa,"Após fugir de casa somente com a roupa do corpo, Pedro e Lucas se conhecem em uma lanchonete de beira de estrada e decidem percorrer o interior do Brasil em busca de uma dose violenta de qualquer coisa.",400 Filmes,Drama/road movie,14/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Web.Uma%20Dose%20violenta%20de%20qualquer%20coisa.jpeg?itok=WVrVqjAe
Estação Liberdade,"A jornada noite adentro do sansei Mario Kubo após descer do último trem na Estação Liberdade, no bairro oriental da cidade de São Paulo.",Prodigo Films,Drama,14/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.esta%C3%A7%C3%A3o-liberdade.jpg?itok=l2Wg7_pB
Sobrevivi ao Holocausto ,"O documentário acompanha Julio Gartner, sobrevivente e testemunha ocular do Holocausto; ele mostra pessoalmente o que viveu antes, durante e depois da tragédia. ",Abaporu e Pitcult,Documentário,21/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.sobrevivi%20ao%20holocausto%20certa.jpg?itok=HtZYBSxQ
A casa elétrica,"O filme conta a história da primeira fábrica porto-alegrense de gramofones, chamada CASA A ELECTRICA, fundada pelo imigrante italiano Savério Leonetti, no ano de 1913.",Panda Filmes,Drama,22/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-casa%20eletrica2.jpg?itok=hvhQW2SC
A oeste do fim do mundo ,"Argentina. Um velho posto de gasolina perdido na imensidão da antiga estrada transcontinental é o refúgio do introspectivo Leon, cuja solidão só é quebrada por um ou outro caminhoneiro ou pelas visitas sempre bem humoradas do motociclista Silas. A enigmática e inesperada chegada de Ana transforma radicalmente o cotidiano de Leon e Silas. 
",Accorde Filmes,Drama,28/08/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/a-oeste-do-fim-do-mundo.jpg?itok=xnaed36C
De menor,"A advogada Helena divide sua rotina entre o trabalho como Defensora pública de crianças e adolescentes e os cuidados com o jovem Caio, com quem vive uma relação de cumplicidade e harmonia – até o momento em que Caio comete um delito.",Tangerina Entretenimento,Drama,04/09/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-demenorcartaz.jpg?itok=8glnjYIW
Entre vales,"Vicente, um economista, é pai de Caio e marido de Marina, uma dedicada dentista. Ele tem uma vida comum em casa e no trabalho, até que uma perda seguida de outra o leva a uma jornada de desapego. ","Polo de Imagem, Aurora Filmes e Degrau Filmes",Drama,08/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.%20Entre%20vales.jpg?itok=83GJXxXf
Praia do Futuro,"O salva-vidas Donato é irmão de Ayrton, que admira a coragem do irmão mais velho. Quando falha pela primeira vez em resgatar uma vida no mar, Donato conhece o alemão Konrad, piloto de motos, e parte com ele para Berlim, deixando o irmão mais novo para trás. Anos depois, Ayrton, já adolescente, segue em busca de Donato para um acerto de contas com aquele que considerava seu herói.",Coração da Selva	,Drama,15/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Web.praia%20do%20futuro.jpg?itok=47fYn_ZM
Olho nu,Filme-ensaio sobre a vida do cantor Ney Matogrosso. ,Paloma Cinematográfica e Canal Brasil,Documentário,15/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.olhonu.jpg?itok=BnzC0e3f
Gata velha ainda mia,"Uma escritora decadente, velha e amarga, resolve finalmente abrir sua casa e dar uma entrevista a uma jovem jornalista que mora em seu prédio, para falar de sua volta à literatura após um longo hiato. ",Piloto Cinema e Televisão,Drama,15/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Web.gatavelha.jpg?itok=Lmv_4KFv
Do lado de fora,"Quatro rapazes participam da parada LGBT em São Paulo. Após presenciarem uma cena de agressão na rua, fazem um pacto para saírem do armário até a parada do ano seguinte.",ASC Audiovisual,Comédia,15/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.esse_.jpg?itok=mfHPmLg-
Operários da bola,"Durante a construção da Arena de Brasília, para a Copa do Mundo de 2014, operários da obra, vindos de diversos estados do Brasil e que participaram da Copa Solidária dos Operários da Bola, durante a construção do estádio em 2012, relatam as suas batalhas pessoais e a paixão pelo futebol. 

",Virna Smith Produções ,documentário,15/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.oper%C3%A1rios.jpg?itok=z6EXsznQ
Dominguinhos,"O sertão está em todo lugar, é do tamanho do mundo, feito do vento do fole, do som da terra, uma imersão na vida e obra, do polegar ao mindinho, nos dedos do genial Dominguinhos.",Big Bonsai,Documentário,22/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.dominguinhos.jpg?itok=FV6TWHp5
A farra do Circo,"A geração que formou o Circo Voador, a usina de sonhos. Do calçadão do Arpoador em 1982 até sua viagem para a Copa do México em 1986, passando por uma noite inesquecível na Lapa, o filme mostra a geração que revolucionou a cena cultural brasileira.",TV Zero,Documentário,29/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/A%20farra%20do%20circo.jpg?itok=GXCbatIz
"A primeira missa ou tristes tropeços, enganos e urucum","Um grupo de cineastas tenta reconstruir um marco na história do Brasil: a primeira missa. O diálogo dos portugueses e dos índios, refletindo sobre o futuro do país, contrasta com os diálogos dos membros da equipe de filmagem, que comentam a situação política do Brasil atual.",Crystal Cinematografica Ltda,comédia,29/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Primeira.missa_.jpg?itok=XhHD3eqx
Os homens são de Marte... E é pra lá que eu vou,"Fernanda, exemplo da mulher do terceiro milênio, é livre em suas escolhas, independente e com dificuldade de encontrar um amor - a cada tentativa, acredita ter encontrado o homem da sua vida. Ela se joga nas relações sem medo, vive intensamente cada encontro e é muito otimista: sempre acha que vai dar certo.",Biônica Filmes,Comédia,29/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Web.Os%20homens%20s%C3%A3o%20de%20Marte.jpg?itok=FPzqHAGM
Setenta,"Em 1970, o embaixador suíço é capturado no Brasil, em troca da liberdade de 70 presos políticos. O filme reencontra esses personagens 40 anos depois",Cavídeo e 70 Filmes,Documentário,29/05/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/setenta.jpg?itok=RRAZ5tkz
Vermelho Brasil ,"A história da expedição de Nicolas Durand de Villegaignon ao Brasil por volta dos anos 1550 e sua luta para criar uma colônia, a chamada França Antártica, no Brasil conquistado pelos portugueses.","Conspiração Filmes , Pampa Prodution e CD Films",Drama,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Vermelho%20Brasil%20.jpg?itok=8ktx8bxi
Tim Lopes – histórias de Arcanjo ,"A vida do jornalista Tim Lopes, jornalista assassinado no ano de 2002, sob o ponto de vista do filho, Bruno.",Avex Filmes e Filmi di Luzzi,Documentário,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Tim%20Lopes.jpg?itok=NHfmngjG
Riocorrente,"Em meio ao turbilhão da cidade, um jornalista, um ex-ladrão de automóveis e uma mulher misteriosa vivem um intenso triângulo amoroso. O choque entre seus desejos e o atrito entre as faces opostas da cidade apontam a urgência de mudanças radicais.",Olhos de Cão,Drama,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.riocorrente.jpg?itok=94YsJ5zr
Junho,"Bastidores das manifestações contra o aumento das tarifas de transporte público em São Paulo, ocorridas em junho de 2013.",TV Folha ,Documentário,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.junho_.jpg?itok=vU9WPUfw
O lobo atrás da porta,"Uma criança é raptada. Na delegacia, Sylvia e Bernardo, pais da vítima, e Rosa, a principal suspeita e amante de Bernardo, prestam depoimentos contraditórios que levarão aos recantos mais obscuros dos desejos, mentiras, carências e perversidades do relacionamento desses três personagens.",Gullane e TC Filmes,Drama,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.o%20lobo.jpg?itok=aD8zzLaL
Meninos de Kichute,"Beto é filho do meio de uma família simples e sonha em ser goleiro de futebol - e seu pai autoritário, que condena sua paixão, é um dos obstáculos. Mas Beto é persistente e não desistirá de alcançar seus objetivos, com o apoio de Dona Leonor, sua vizinha.",Amberg Filmes,Drama,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.meninos%20de%20kichute.jpg?itok=WwMDqZYm
Em busca de um lugar comum ,"Imerso nos passeios pela Favela da Rocinha, o documentário investiga os desejos e as imagens envolvidas na construção deste disputado destino turístico. Um mercado que, atento as demandas, não cessa em projetar seus novos atrativos.",Sobretudo Produção,Documentário,05/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.em%20busca%20de%20um%20lugar%20comum_0.jpg?itok=4wdffTpf
Latitudes,"A executiva de moda Olívia e o fotógrafo José se encontram sempre, por coincidência, em destinos pela América Latina, Europa e Ásia. O filme narra os encontros e separações de um casal sem raízes, sem uma história que possa ser contada longe das quatro paredes de um quarto de hotel, retratando as paixões e conflitos que definem esta geração.",Los Bragas e House Entertainment,Drama,28/02/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cartaz-latitudes.jpg?itok=Kz3Jw9Or
Avanti Popolo,"Através do resgate de imagens Super-8mm captadas pelo seu irmão nos anos 70, André tenta reavivar a memória do seu pai, que há 30 anos espera seu filho desaparecido.
",Dezenove Filmes,Drama,12/06/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB.Avanti%20popolo%20ESSA.jpg?itok=biA2AuMW
Eles Voltam,"Cris e seu irmão mais velho são deixados na beira da estrada por seus pais. Em sua jornada de retorno para casa, Cris encontra desafios e realidades distintas da sua, que farão a jovem se revisitar.",Plano9 e Trincheira,Drama,07/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-elesvoltam.jpg?itok=-O9rOX-7
Alemão,"Cinco policiais trabalham infiltrados no Complexo do Alemão, uma região que reúne diversas favelas no Rio de Janeiro. Desmascarados pelos traficantes, eles agora estão presos e aguardam que ou sejam executados ou resgatados pelas forças policiais, o que significaria a divulgação de uma missão clandestina realizada pela polícia militar.",RT Features,Policial,13/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-alemao.jpg?itok=spLuWqw9
Minutos Atrás,"Em uma jornada lúdica em direção ao acaso, uma carroça guiada pelo cavalo Ruminante leva os companheiros Alonso e Nildo por uma estrada onde o destino é a própria viagem.","Maria Farinha Filmes, Sinceramente Cínicos ",Drama,20/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-minutosatras_0.jpg?itok=BF4rahA3
S.O.S. Mulheres ao Mar,"Desiludida com o fim de seu casamento, Adriana decide reconquistar o ex-marido embarcando no mesmo cruzeiro em que ele está com a nova namorada, uma estrela de novelas.",Ananã Produções e Julio Uchôa,Comédia romântica,20/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/web-SOS_0.jpg?itok=fl_JKiyr
Jogo de Xadrez,"Mina está na cadeia por causa de uma fraude na Previdência Social, envolvendo o Senador Franco. O senador, temendo que ela conte a verdade para as autoridades, contrata o diretor da cadeia para que ele a impeça de abrir a boca. Começa aí um jogo de desafios e de luta pelo poder dentro e fora da penitenciária. Levará vantagem o mais forte e o mais inteligente.
",Eclectic Entertainment,Suspense,20/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-jogodexadrez.jpg?itok=o_vR-DcQ
La Playa ,"Tomás, um jovem negro que fugiu da Costa Pacífica colombiana por causa da guerra, resolve se mudar para Bogotá em busca de seu irmão caçula.",Burning Blue e Septima Films ,Drama,27/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/la%20playa%20cartaz%20final%20baixa.jpg?itok=1kQhCtpX
Entre Nós,"Amigos se isolam numa casa de campo e decidem escrever e enterrar cartas para eles mesmos. As mensagens serão abertas dez anos mais tarde em uma situação que irá trazer à tona antigas paixões, frustrações e um segredo.",O2 Filmes,Drama,27/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-entrenos.jpg?itok=LdDHIkex
Em Busca de Iara,"Partindo de uma investigação pessoal de sua sobrinha, Mariana Pamplona, o filme resgata a vida da guerrilheira Iara Iavelberg. Com cuidadosa pesquisa de documentos, imagens de arquivo e entrevistas, o documentário reconstrói a vida de Iara e desmonta a versão oficial regime, que atribui sua morte a um suicídio.",Kinoscópio Cinematográfica  ,Documentário,27/03/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/WEB-Iara.Correto.jpg?itok=MtpMvKtH
Confia em mim ,"Chef de cozinha talentosa, Mari sonha ter seu próprio restaurante. Ela se envolve com o sedutor Caio, que oferecerá condições para a chef realizar seu sonho. Porém, as coisas não são o que parecem ser. ",Mixer,drama,10/04/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/cfm_0001_cartaz_final_web.jpg?itok=k_v8lR-a
Hoje eu quero voltar sozinho ,"Leonardo é um adolescente cego em busca de sua independência. Seu cotidiano, a relação com a melhor amiga, Giovana, e a sua forma de ver o mundo ganham novos contornos com a chegada de Gabriel.",Lacuna Filmes ,romance,10/04/2014,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/hoje%20eu%20quero%20voltar%20sozinho_0.jpg?itok=sGlmPWwi
