title,sinopse,produção,genero,data-lancamento,image
O crime da Gávea,"
	Paulo, editor de video, chega em casa no tradicional bairro carioca da Gávea e encontra sua mulher assassinada. A filha do casal, de 2 anos, está em seu berço, dormindo tranquilamente. Não há sinais de arrombamento e aparentemente nada foi roubado. Nenhuma pista do criminoso no local do crime. Paralelamente à polícia, Paulo investiga o crime e acaba perdendo-se no labirinto de suas próprias contradições.",MD Produções Artísticas,Drama,09/03/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/O%20Crime%20da%20G%C3%A1vea_2.jpg?itok=UleZrII3
Olhar instigado,"
	Três artistas se apropriam do espaço público e apresentam sua visão e sua forma de manifestá-la na maior cidade da América do Sul. O filme é um mergulho nas ruas de São Paulo pelo olhar instigado de Alexandre Orion, Bruno Locuras e André Monteiro, o Pato. ",BossaNovaFilms/Expresso 4 Filmes/Biondani Produções,Documentário,09/03/2017,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Olhar%20instigado.jpg?itok=GrUHsDUg
Menos que Nada ,"A trama de “Menos que Nada” gira em torno do tratamento de um doente mental internado há dez anos num hospital psiquiátrico, onde foi esquecido pela família, pelos amigos e pela sociedade. O filme foi inspirado no conto “O Diário de Redegonda”, do médico e escritor austríaco Arhur Schnitzler. ",Prana Filmes ,Drama ,20/07/2012,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/menos%20que%20nada.JPG?itok=VzxRaI03
Exilados do Vulcão,Ela conseguiu salvar do incêndio uma pilha de fotografias e um diário com frases escritas à mão.,Franco Filmes,Drama,28/04/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Exilados%20do%20Vulc%C3%A3o.jpg?itok=T5kEKvhX
Nise - O Coração da Loucura,"Ao sair da prisão, a doutora Nise da Silveira volta aos trabalhos num hospital psiquiátrico no subúrbio do Rio de Janeiro e se recusa a empregar o eletrochoque e a lobotomia no tratamento dos esquizofrênicos. Isolada pelos médicos, resta a ela assumir o abandonado Setor de Terapia Ocupacional, onde dá início a uma revolução regida por amor, arte e loucura.",Tv Zero,Drama,21/04/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Nise%20%20editado.jpg?itok=xgfbXus3
Meu Nome é Jacque,"O documentário aborda a diversidade através da história de vida de Jaqueline Rocha Côrtes, uma mulher transexual brasileira, que vive com Aids há mais de 20 anos. Militante pela causa, Jacque tem a vida marcada por lutas e conquistas, chegando a trabalhar como representante do governo brasileiro e na Organização das Nações Unidas. Hoje casada e mãe de dois filhos, mora numa pequena cidade, levando uma vida voltada para a maternidade, a família e a espiritualidade. ",,Documentário,21/04/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Meu%20Nome%20%C3%A9%20Jack%20editado.jpg?itok=GQcRUywK
Epidemia de Cores,"Uma reflexão sobre arte, saúde mental e direitos humanos. O documentário registra participantes e coordenadores da Oficina de Criatividade do Hospital Psiquiátrico São Pedro, antigo Hospício da Cidade de Porto Alegre.",Mario Saretta,Documentário,02/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/epidemia%20de%20cores.jpg?itok=tdoD7o7x
Vampiro 40º ,"Depois de uma temporada na Transilvânia, o vampiro Vlak volta ao Rio de Janeiro e se torna o rei do submundo carioca. Monitorado 24 horas por dia pela Limbo Corporation, ele decide extrair seu próprio canino, para acabar com a vigília que o liga à quadrilha. Com isso, acaba perdendo a memória.Fausto Fawcett, Henrique Tavares, João Paulo Reys",LC Barreto Produções ,Horror,09/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/VampiroCartaz.jpg?itok=8dXR3D8c
Os sonhos de um sonhador - A História de Frank Aguiar,"Desde a infância até seu reconhecimento como músico popular de forró eletrônico, acompanhamos as inspirações que levaram o músico brasileiro Frank Aguiar a começar a sua jornada e ultrapassar as fronteiras do Piauí.",Nation Filmes e Maristela Filmes,Biografia,09/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Os%20Sonhos%20de%20um%20Sonhador_CARTAZ.jpg?itok=LFf8qL6h
Big Jato,"O menino Francisco passa os dias a acompanhar o pai no trabalho, ou melhor, nas estradas. O homem é motorista do imponente Big Jato, um caminhão-pipa utilizado para limpar as fossas da cidade sem saneamento básico. Mas o garoto está mais interessado nas ideias do tio, um artista libertário e anarquista. À medida que descobre o primeiro amor, Chico percebe a vocação para se tornar poeta.",República Pureza e Perdidas Ilusões,Drama/Comédia,16/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Big%20Jato%20editado.jpg?itok=SI2KCZPH
